SKU,Product,Variation,Supplier Code,Unit Cost (CNY),Qty,Shipping Alloc (CNY),Line Total (CNY),Nett Cost (AUD)
sticker-candy-clear,Sticker,candy-clear,Z010944,1.4,2,1.11,3.91,0.415
washi-bunny-lucky,Washi,bunny-lucky,A002087,2.9,2,2.30,8.10,0.865
washi-clover-lucky,Washi,clover-lucky,A002086,2.9,2,2.30,8.10,0.865
washi-fair-isle-bunny-a,Washi,fair-isle-bunny-a,A002074,3,2,2.38,8.38,0.890
washi-fair-isle-b-leopard,Washi,fair-isle-b-leopard,A002077,3,2,2.38,8.38,0.890
washi-fair-isle-bunny-b,Washi,fair-isle-bunny-b,A002075,3,2,2.38,8.38,0.890
washi-fair-isle-a-leopard,Washi,fair-isle-a-leopard,A002076,3,2,2.38,8.38,0.890
washi-misty-blue-heart-b,Washi,misty-blue-heart-b,A002081,2,2,1.59,5.59,0.595
washi-misty-blue-heart-a,Washi,misty-blue-heart-a,A002080,2.9,2,2.30,8.10,0.865
sticker-time-memory,Sticker,time-memory,LEPLLANSE-7804B,3.5,10,13.89,48.89,1.041
sticker-01,Sticker,,Z0976,1.3,2,1.03,3.63,0.385
sticker-02,Sticker,,Z0970,1.3,2,1.03,3.63,0.385
sticker-03,Sticker,,Z0975,1.3,2,1.03,3.63,0.385
sticker-yellow-butterfly,Sticker,yellow-butterfly,X55665,0.5,2,0.40,1.40,0.150
sticker-04,Sticker,,L134333,1.5,2,1.19,4.19,0.445
sticker-05,Sticker,,L134332,1.5,2,1.19,4.19,0.445
sticker-time-food-retro,Sticker,time-food-retro,LEPLLANSE-7804A,3.9,10,15.48,54.48,1.160
sticker-sushi-retro,Sticker,sushi-retro,Z010937,1.2,2,0.95,3.35,0.355
sticker-snack-retro,Sticker,snack-retro,Z010935,1.2,2,0.95,3.35,0.355
sticker-lucky-retro,Sticker,lucky-retro,Z010936,1.2,2,0.95,3.35,0.355
sticker-sushi-retro-2,Sticker,sushi-retro,Z010937,1.2,2,0.95,3.35,0.355
tape-sewing-star,Tape,sewing-star,35JD26050405,2.8,2,2.22,7.82,0.835
tape-lace-sweet,Tape,lace-sweet,35JD26050403,2.8,2,2.22,7.82,0.835
tape-dot-denim,Tape,dot-denim,35JD26050406,2.8,2,2.22,7.82,0.835
tape-strawberry-heart,Tape,strawberry-heart,35JD26050401,2.8,2,2.22,7.82,0.835
tape-flower,Tape,flower,35JD26050402,2.8,2,2.22,7.82,0.835
tape-01,Tape,,MG036-0965,4,1,1.59,5.59,1.190
tape-sakura,Tape,sakura,MG036-0963,4,1,1.59,5.59,1.190
tape-02,Tape,,MG036-0966,4,1,1.59,5.59,1.190
tape-03,Tape,,MG036-0964,4,1,1.59,5.59,1.190
tape-coffee,Tape,coffee,ENA2501006,3,2,2.38,8.38,0.890
tape-04,Tape,,ENA2501005,3,2,2.38,8.38,0.890
tape-05,Tape,,ENA2501004,3,2,2.38,8.38,0.890
tape-06,Tape,,ENA2501001,3,2,2.38,8.38,0.890
tape-green,Tape,green,ENA2501002,3,1,1.19,4.19,0.890
tape-07,Tape,,ENA2501003,3,2,2.38,8.38,0.890
tote-01,Tote,,,2,10,7.94,27.94,0.595
tote-02,Tote,,,2,10,7.94,27.94,0.595
tote-03,Tote,,,2,15,11.91,41.91,0.595
tote-04,Tote,,,2,10,7.94,27.94,0.595
tote-05,Tote,,,2,10,7.94,27.94,0.595
tote-06,Tote,,,2,15,11.91,41.91,0.595
tote-07,Tote,,,2,10,7.94,27.94,0.595
tote-08,Tote,,,2,10,7.94,27.94,0.595
tote-09,Tote,,,2,10,7.94,27.94,0.595
plush-01,Plush,,,2.89,3,3.44,12.11,0.860
plush-02,Plush,,,2.89,3,3.44,12.11,0.860
plush-03,Plush,,,2.89,3,3.44,12.11,0.860
